ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1.0,10.25448,2.870775,7.140078,2.061,13.46003,0.2791775,16.62299,23.92461,NONE
-1.0,10.27538,2.850561,7.154576,2.046503,13.44559,0.2791795,17.56798,24.00364,NONE
-1.0,10.29529,2.83131,7.168382,2.032698,13.43145,0.2791815,18.49269,24.08548,NONE
-1.0,10.31396,2.813251,7.181334,2.019747,13.4189,0.2791839,19.31331,24.1624,NONE
-1.0,10.33197,2.79584,7.193823,2.007259,13.40596,0.2791861,20.15843,24.24657,NONE
-1.0,10.34894,2.779431,7.205592,1.995491,13.39453,0.2791876,20.90508,24.3258,NONE
-1.0,10.36303,2.765812,7.215361,1.985723,13.38443,0.2791899,21.5638,24.40014,NONE
-1.0,10.37883,2.750523,7.226327,1.974758,13.37409,0.2791921,22.23852,24.48147,NONE
-1.0,10.39309,2.736725,7.236225,1.96486,13.36424,0.2791938,22.88044,24.56464,NONE
-1.0,10.40525,2.724963,7.244663,1.956423,13.35536,0.2791959,23.45936,24.6455,NONE
-1.0,10.41726,2.713352,7.252995,1.948092,13.34757,0.2791979,23.96681,24.72194,NONE
-1.0,6.486966,6.523803,4.58699,4.613011,16.013,0.2629581,3.105193,0.0903845,NONE
-1.0,6.486887,6.523881,4.587004,4.612998,16.01301,0.2714163,3.105058,0.1724272,NONE
-1.0,6.486871,6.523892,4.587004,4.612998,16.01301,0.2742815,3.105024,0.242248,NONE
-1.0,6.48686,6.523907,4.586992,4.613009,16.01302,0.2754006,3.105015,0.3244821,NONE
-1.0,6.486842,6.52392,4.586985,4.613017,16.01303,0.2756827,3.105014,0.4064482,NONE
-1.0,6.486836,6.523932,4.586975,4.613026,16.01303,0.2757383,3.105015,0.483792,NONE
-1.0,6.486824,6.523941,4.586967,4.613034,16.01304,0.2757456,3.105015,0.5638132,NONE
-1.0,6.486814,6.523952,4.58696,4.613041,16.01305,0.2757446,3.105015,0.6424548,NONE
-1.0,6.486804,6.523963,4.586952,4.613049,16.01306,0.2757443,3.105015,0.7245515,NONE
-1.0,6.486794,6.523974,4.586945,4.613057,16.01306,0.2757435,3.105015,0.8019857,NONE
-1.0,6.486783,6.523985,4.586937,4.613064,16.01307,0.2757434,3.105015,0.8819053,NONE
-1.0,6.486772,6.523996,4.586929,4.613072,16.01308,0.2757432,3.105015,0.9612203,NONE
-1.0,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757433,3.105015,1.04075,NONE
-1.0,6.486764,6.524003,4.586924,4.613078,16.01308,0.2757438,3.105015,1.1224,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.275743,3.105015,1.203937,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105015,1.281047,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105015,1.361516,NONE
-1.0,6.486764,6.524003,4.586924,4.613078,16.01308,0.275743,3.105015,1.443987,NONE
-1.0,6.486764,6.524003,4.586924,4.613078,16.01308,0.2757438,3.105015,1.524314,NONE
-1.0,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757435,3.105015,1.601462,NONE
-1.0,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757431,3.105015,1.682648,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757436,3.105015,1.762639,NONE
-1.0,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757432,3.105016,1.842496,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.105016,1.920927,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105015,2.002084,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757439,3.105015,2.082794,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105015,2.161209,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105015,2.243218,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105015,2.324427,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757434,3.105017,2.405143,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.105017,2.482933,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757442,3.105017,2.561826,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757437,3.105017,2.644549,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757443,3.105017,2.723409,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757433,3.105017,2.803226,NONE
-1.0,6.486763,6.524003,4.586924,4.613078,16.01308,0.2757433,3.105019,2.883349,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757438,3.105018,2.963136,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105019,3.041838,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757431,3.105019,3.121819,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757435,3.105019,3.202088,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757441,3.105019,3.281359,NONE
-1.0,6.486763,6.524004,4.586924,4.613078,16.01308,0.2757432,3.105019,3.363796,NONE
-1.0,6.486781,6.523984,4.586924,4.613078,16.01309,0.2757246,3.140893,3.441567,ACCELERATE
-1.0,6.486831,6.523932,4.586916,4.613085,16.01309,0.2757063,3.280374,3.521505,ACCELERATE
-1.0,6.48689,6.523879,4.58691,4.613091,16.0131,0.2756996,3.508064,3.600802,ACCELERATE
-1.0,6.486945,6.52382,4.586903,4.613099,16.01311,0.2756968,3.833029,3.682695,ACCELERATE
-1.0,6.487103,6.523665,4.586908,4.613093,16.0131,0.2774276,4.220365,3.76143,ACCELERATE
-1.0,6.487293,6.523468,4.586946,4.613055,16.01306,0.278096,4.698049,3.842657,ACCELERATE
-1.0,6.487428,6.523334,4.586998,4.613003,16.01301,0.2783338,5.237367,3.921478,ACCELERATE
-1.0,6.48752,6.523245,4.587049,4.612952,16.01295,0.2786192,5.848034,4.000691,ACCELERATE
-1.0,6.487647,6.523119,4.587103,4.612898,16.01289,0.2789504,6.558821,4.08394,ACCELERATE
-1.0,6.487804,6.522952,4.58717,4.612832,16.01283,0.2790271,7.299992,4.163614,ACCELERATE
-1.0,6.487977,6.522781,4.587236,4.612765,16.01276,0.2790587,8.080428,4.241805,ACCELERATE
-1.0,6.488168,6.522596,4.587311,4.61269,16.01269,0.2791041,8.933601,4.322244,ACCELERATE
-1.0,6.488383,6.522385,4.587402,4.612599,16.0126,0.2791274,9.828218,4.402257,ACCELERATE
-1.0,6.488616,6.522148,4.587507,4.612494,16.01249,0.2791423,10.76943,4.482688,ACCELERATE
-1.0,6.48886,6.521899,4.587624,4.612378,16.01237,0.2791491,11.73547,4.562058,ACCELERATE
-1.0,6.489148,6.521618,4.587761,4.61224,16.01223,0.2791566,12.78104,4.645024,ACCELERATE
-1.0,6.489429,6.521327,4.587904,4.612097,16.01209,0.2791547,13.77037,4.721253,ACCELERATE
-1.0,6.489751,6.521009,4.58807,4.611931,16.01192,0.2791573,14.86575,4.803496,ACCELERATE
-1.0,6.490101,6.520664,4.588251,4.61175,16.01174,0.2791578,15.96074,4.883843,ACCELERATE
-1.0,6.490443,6.52031,4.58844,4.611561,16.01155,0.2791576,17.01898,4.96001,ACCELERATE
-1.0,6.490839,6.519922,4.588654,4.611348,16.01133,0.279158,18.17397,5.041716,ACCELERATE
-1.0,6.491252,6.519503,4.588884,4.611117,16.0111,0.279158,19.30718,5.120672,ACCELERATE
-1.0,6.491693,6.519072,4.589134,4.610868,16.01085,0.2791581,20.47025,5.200641,ACCELERATE
-1.0,6.492168,6.518582,4.589413,4.610589,16.01057,0.2791582,21.69811,5.284063,ACCELERATE
-1.0,6.492654,6.518096,4.589695,4.610307,16.01029,0.2791576,22.86131,5.36233,ACCELERATE
-1.0,6.493172,6.517593,4.589993,4.610009,16.00999,0.2791596,24.04795,5.442,ACCELERATE
-1.0,6.49372,6.517039,4.590319,4.609683,16.00967,0.2791596,25.2753,5.524399,ACCELERATE
-1.0,6.494256,6.516502,4.590641,4.60936,16.00934,0.27916,26.44643,5.603023,ACCELERATE
-1.0,6.494823,6.515933,4.590984,4.609017,16.009,0.2791598,27.60434,5.68076,ACCELERATE
-1.0,6.495436,6.515322,4.591353,4.608649,16.00863,0.2791597,28.81818,5.762251,ACCELERATE
-1.0,6.496068,6.514697,4.591738,4.608264,16.00825,0.2791601,30.03794,5.844139,ACCELERATE
-1.0,6.496683,6.514073,4.592116,4.607886,16.00787,0.2791598,31.17422,5.920422,ACCELERATE
19.79964,6.497351,6.513404,4.592532,4.607471,16.00745,0.2791597,32.39192,6.002172,ACCELERATE
18.60392,6.465034,6.562177,4.592959,4.607043,16.00702,0.2791596,33.57726,6.081749,ACCELERATE
17.42443,6.377457,6.717798,4.593396,4.606606,16.00658,0.2791601,34.76723,6.161638,ACCELERATE
16.24198,6.236714,7.030135,4.59385,4.606153,16.00607,0.2791599,35.96109,6.241787,LEFT_ACCELERATE
15.46369,6.153031,7.289069,4.606871,4.591112,15.98757,0.2791591,37.15091,6.321693,LEFT_ACCELERATE
15.5152,6.262662,7.115625,4.659993,4.538784,15.89711,0.2791657,38.3358,6.401577,LEFT_ACCELERATE
16.08186,6.558133,6.609036,4.78016,4.432681,15.6854,0.2791768,39.54362,6.484063,LEFT_ACCELERATE
16.0916,6.737948,6.367753,4.929044,4.286326,15.39719,0.2791724,40.67835,6.562736,LEFT_ACCELERATE
15.28496,6.678988,6.594402,5.039665,4.162839,15.07656,0.2791658,41.83057,6.643044,LEFT_ACCELERATE
14.54836,6.571497,7.009903,5.095923,4.10168,14.75159,0.2791632,42.96767,6.722452,LEFT_ACCELERATE
14.38985,6.600818,7.043747,5.149307,4.048912,14.35901,0.2791639,44.11064,6.803662,LEFT_ACCELERATE
13.81064,6.508668,7.636825,5.189875,4.019365,13.91156,0.2791639,45.24059,6.885273,LEFT_ACCELERATE
13.19239,6.358465,8.897434,5.180836,4.039744,13.46904,0.2791645,46.2894,6.961719,LEFT_ACCELERATE
12.99812,6.293556,9.685212,5.157235,4.063722,12.94593,0.2791666,47.35204,7.041314,LEFT_ACCELERATE
12.40842,6.114532,-1.0,5.122826,4.129437,12.372,0.2791667,48.39803,7.121434,LEFT_ACCELERATE
12.03204,5.956056,-1.0,5.050934,4.221991,11.76068,0.2791688,49.41373,7.201082,LEFT_ACCELERATE
11.82726,5.834485,-1.0,4.976573,4.316442,11.05673,0.2791695,50.41318,7.283231,LEFT_ACCELERATE
11.44496,5.659912,-1.0,4.877839,4.437123,10.33619,0.27917,51.33833,7.362013,LEFT_ACCELERATE
11.56363,5.595157,-1.0,4.774088,4.524475,9.523289,0.2791758,52.22321,7.442828,LEFT_ACCELERATE
11.50974,5.497071,-1.0,4.699177,4.609918,8.671173,0.2791787,53.01761,7.521127,LEFT_ACCELERATE
11.90045,5.490556,17.12129,4.617333,4.658742,7.693615,0.2791872,53.78288,7.604643,LEFT_ACCELERATE
13.06076,5.677335,10.09795,4.598462,4.626204,6.682137,0.2792051,54.39151,7.684142,LEFT_ACCELERATE
15.63649,6.094377,7.75173,4.681871,4.51539,5.608892,0.2792154,54.84105,7.762583,LEFT_ACCELERATE
-1.0,6.692276,6.415208,4.887805,4.336683,4.473228,0.2792133,55.13078,7.841651,LEFT_ACCELERATE
-1.0,7.35136,5.547297,5.182045,4.090521,3.289599,0.2792009,55.28111,7.922075,LEFT_ACCELERATE
-1.0,7.896104,4.984985,5.489233,3.806594,2.129556,0.2791876,55.33001,8.000151,LEFT_ACCELERATE
-1.0,8.200389,4.638514,5.771416,3.504203,0.9049069,0.2791745,55.3375,8.082405,LEFT_ACCELERATE
-1.0,8.216202,4.564862,5.95795,3.264707,-0.2989196,0.2791668,55.35555,8.16326,ACCELERATE
-1.0,8.16029,4.610881,6.060274,3.141098,-1.481309,0.2791633,55.39684,8.242706,ACCELERATE
-1.0,8.081409,4.702257,6.099254,3.099818,-2.68101,0.2791613,55.45507,8.323349,ACCELERATE
-1.0,7.989412,4.809473,6.079049,3.130233,-3.874972,0.2791608,55.52415,8.403645,ACCELERATE
-1.0,7.889791,4.925935,6.023809,3.205402,-5.040225,0.2791607,55.59899,8.482036,ACCELERATE
-1.0,7.781503,5.052762,5.941812,3.287493,-6.234229,0.2791601,55.68103,8.562386,ACCELERATE
-1.0,7.668375,5.185411,5.855865,3.373501,-7.445185,0.2791604,55.76816,8.643895,ACCELERATE
-1.0,7.554918,5.318515,5.769509,3.459896,-8.589156,0.2791611,55.85305,8.720908,ACCELERATE
-1.0,7.439852,5.454161,5.678754,3.550253,-9.793598,0.2791607,55.94394,8.801997,LEFT_ACCELERATE
-1.0,7.525517,5.392123,5.597327,3.615062,-11.01238,0.2791604,56.01055,8.883973,LEFT_ACCELERATE
-1.0,7.989544,5.047256,5.600452,3.599914,-12.17341,0.2791666,55.99561,8.962035,LEFT_ACCELERATE
-1.0,8.489624,4.731354,5.694708,3.517424,-13.36574,0.2791683,55.90539,9.042356,LEFT_ACCELERATE
-1.0,8.725697,4.55473,5.80481,3.411304,-14.55988,0.279164,55.80005,9.122842,ACCELERATE
-1.0,8.867174,4.428767,5.899313,3.316772,-15.73703,0.2791618,55.70586,9.202126,ACCELERATE
-1.0,8.998952,4.31087,5.988015,3.227982,-16.91819,0.2791611,55.61855,9.281639,ACCELERATE
-1.0,9.095362,4.20137,6.070287,3.145645,-18.09348,0.2791608,55.53671,9.360735,ACCELERATE
-1.0,9.128427,4.095812,6.14951,3.066376,-19.2832,0.2791606,55.45752,9.440784,ACCELERATE
-1.0,9.091956,3.993625,6.226137,2.989719,-20.47389,0.2791602,55.3809,9.520885,ACCELERATE
-1.0,8.996005,3.900882,6.299074,2.916764,-21.66057,0.2791606,55.30646,9.600708,ACCELERATE
19.65668,8.837998,3.857778,6.373569,2.842258,-22.84402,0.2791605,55.23353,9.680308,ACCELERATE
18.40954,8.616362,3.912882,6.441089,2.766275,-24.08421,0.2791603,55.15815,9.763722,ACCELERATE
17.2288,8.354062,4.108636,6.476138,2.721815,-25.2799,0.2791601,55.08557,9.844144,LEFT_ACCELERATE
16.53141,8.208684,4.253198,6.48176,2.717754,-26.46604,0.2791604,54.98634,9.924088,LEFT_ACCELERATE
16.21831,8.170955,4.289943,6.496606,2.702155,-27.62291,0.2791638,54.81873,10.00263,LEFT_ACCELERATE
15.34215,7.944099,4.645097,6.494689,2.712153,-28.78714,0.2791632,54.61346,10.08201,LEFT_ACCELERATE
14.44718,7.665452,5.304343,6.442995,2.796448,-29.93332,0.2791625,54.40337,10.16025,LEFT_ACCELERATE
13.93055,7.465294,5.925808,6.356837,2.899529,-31.15314,0.2791638,54.11972,10.24438,LEFT_ACCELERATE
13.06852,7.152607,8.297924,6.258078,3.055508,-32.27073,0.279164,53.81878,10.3221,LEFT_ACCELERATE
12.38039,6.849764,-1.0,6.112354,3.255594,-33.40586,0.2791643,53.48185,10.40162,LEFT_ACCELERATE
12.16525,6.656877,-1.0,5.923188,3.438766,-34.51681,0.2791733,53.06232,10.48147,LEFT_ACCELERATE
12.43305,6.619126,-1.0,5.767927,3.549419,-35.61104,0.2791934,52.50105,10.56426,LEFT_ACCELERATE
13.17064,6.738734,8.629995,5.6847,3.563082,-36.54348,0.2792104,51.84612,10.64104,LEFT_ACCELERATE
14.47034,7.061668,6.435426,5.708769,3.496368,-37.39025,0.2792178,51.03664,10.72003,LEFT_ACCELERATE
16.21754,7.569386,5.230826,5.862867,3.34735,-38.16173,0.2792192,50.01856,10.8063,LEFT_ACCELERATE
18.5961,8.211075,4.371509,6.106556,3.138019,-38.69818,0.2792192,49.02763,10.88246,LEFT_ACCELERATE
-1.0,8.893087,3.70893,6.430417,2.868184,-39.11155,0.2792088,47.93723,10.96127,LEFT_ACCELERATE
-1.0,9.571588,3.099062,6.835983,2.498353,-39.42033,0.2791932,46.76248,11.04319,LEFT_ACCELERATE
-1.0,9.947877,2.675179,7.164873,2.146133,-39.65593,0.2791801,45.59019,11.12354,LEFT_ACCELERATE
-1.0,9.963126,2.414607,7.406371,1.844114,-39.88147,0.2791695,44.41137,11.20415,ACCELERATE
-1.0,9.760999,2.332167,7.541109,1.664685,-40.12156,0.2791653,43.28112,11.28174,ACCELERATE
-1.0,9.477448,2.414659,7.603565,1.59549,-40.39413,0.2791628,42.0966,11.36336,ACCELERATE
-1.0,9.155412,2.65956,7.595494,1.622111,-40.6789,0.2791615,40.92146,11.44454,ACCELERATE
-1.0,8.834617,3.089158,7.529494,1.737164,-40.9534,0.2791617,39.82538,11.5204,ACCELERATE
-1.0,8.493033,3.685014,7.402534,1.935663,-41.25443,0.2791607,38.65047,11.60183,ACCELERATE
-1.0,8.140317,4.299186,7.215483,2.217491,-41.55479,0.2791601,37.49682,11.68186,ACCELERATE
-1.0,7.784078,4.919764,6.972618,2.537328,-41.86246,0.2791608,36.32827,11.76298,ACCELERATE
-1.0,7.435374,5.527298,6.680716,2.850496,-42.16844,0.2791604,35.17538,11.84306,ACCELERATE
-1.0,7.081985,6.143102,6.363344,3.167939,-42.47132,0.2791598,34.04056,11.92192,ACCELERATE
-1.0,6.757267,6.682435,6.043493,3.473814,-42.7744,0.2791595,32.89488,12.00148,LEFT_ACCELERATE
-1.0,6.604881,6.755499,5.705856,3.717741,-43.03889,0.2791618,31.71867,12.08248,LEFT_ACCELERATE
-1.0,6.75745,6.321036,5.453242,3.838241,-43.20319,0.2791764,30.51972,12.16387,LEFT_ACCELERATE
-1.0,7.081017,5.877307,5.359392,3.86342,-43.25299,0.2791766,29.36201,12.2418,LEFT_ACCELERATE
-1.0,7.326319,5.63475,5.355413,3.849838,-43.24622,0.2791699,28.17484,12.32153,LEFT_ACCELERATE
-1.0,7.365056,5.59854,5.364208,3.839937,-43.23824,0.2791639,26.95768,12.40326,ACCELERATE
-1.0,7.356896,5.606922,5.359344,3.844859,-43.24386,0.2791617,25.75123,12.48426,ACCELERATE
-1.0,7.336287,5.62853,5.345421,3.858839,-43.25916,0.2791608,24.51826,12.56704,ACCELERATE
-1.0,7.306668,5.659808,5.324624,3.87968,-43.27922,0.2791616,23.38121,12.64339,ACCELERATE
-1.0,7.272439,5.696093,5.300168,3.904163,-43.30367,0.2791614,22.23102,12.72063,ACCELERATE
-1.0,7.232352,5.738628,5.271307,3.933043,-43.33323,0.2791604,20.99705,12.80349,ACCELERATE
-1.0,7.189307,5.784366,5.240153,3.96421,-43.36399,0.2791598,19.80927,12.88326,ACCELERATE
-1.0,7.1465,5.829875,5.209079,3.995291,-43.39531,0.2791603,18.66042,12.96042,ACCELERATE
-1.0,7.098132,5.881293,5.17391,4.030466,-43.43078,0.2791597,17.40607,13.04466,ACCELERATE
-1.0,7.051752,5.930638,5.140138,4.06424,-43.46405,0.2791601,16.25832,13.12175,ACCELERATE
-1.0,7.005051,5.980303,5.106107,4.098272,-43.49847,0.2791602,15.09141,13.20012,ACCELERATE
-1.0,6.955651,6.032838,5.070102,4.134277,-43.53429,0.2791599,13.89265,13.28064,ACCELERATE
-1.0,6.904266,6.087498,5.032615,4.171762,-43.57157,0.2791599,12.65585,13.36371,ACCELERATE
-1.0,6.855262,6.139618,4.996861,4.207514,-43.60778,0.27916,11.46276,13.44384,ACCELERATE
-1.0,6.804456,6.193666,4.959786,4.244587,-43.64423,0.2791601,10.26702,13.52415,ACCELERATE
-1.0,6.754494,6.246797,4.923325,4.281044,-43.68148,0.2791599,9.048539,13.60599,ACCELERATE
-1.0,6.706454,6.297905,4.888258,4.31611,-43.71589,0.2791598,7.925644,13.68141,ACCELERATE
-1.0,6.656779,6.350726,4.851995,4.352368,-43.75201,0.2791597,6.748869,13.76046,ACCELERATE
-1.0,6.610347,6.400106,4.818099,4.386261,-43.7895,0.2791602,5.528498,13.84242,ACCELERATE
-1.0,6.556561,6.457311,4.778837,4.425519,-43.82525,0.2791599,4.365113,13.92056,ACCELERATE
-1.0,6.50452,6.51264,4.740849,4.463504,-43.86481,0.2791601,3.07854,14.00698,ACCELERATE
-1.0,6.460066,6.559911,4.708396,4.495954,-43.8996,0.2791604,1.947203,14.08297,ACCELERATE
-1.0,6.404837,6.618649,4.668077,4.53627,-43.93579,0.2791609,0.7702141,14.16202,ACCELERATE
-1.0,6.354041,6.672649,4.630997,4.573345,-43.97325,0.2791606,-0.4484165,14.24387,ACCELERATE
-1.0,6.305957,6.723772,4.595899,4.608439,-44.00838,0.2791599,-1.591292,14.32064,ACCELERATE
-1.0,6.253432,6.779613,4.557553,4.646782,-44.0465,0.2791599,-2.831647,14.40395,ACCELERATE
-1.0,6.203808,6.832369,4.521332,4.682999,-44.08272,0.2791601,-4.010365,14.48312,ACCELERATE
-1.0,6.153316,6.886033,4.484478,4.719849,-44.12029,0.2791598,-5.233709,14.56528,ACCELERATE
-1.0,6.102818,6.939712,4.447613,4.75671,-44.1565,0.2791598,-6.413379,14.64452,ACCELERATE
-1.0,6.054338,6.991243,4.412229,4.792091,-44.19177,0.2791604,-7.562663,14.72171,ACCELERATE
-1.0,6.002741,7.046072,4.374574,4.829743,-44.22957,0.27916,-8.794676,14.80446,ACCELERATE
-1.0,5.952724,7.09924,4.338063,4.866249,-44.26554,0.2791598,-9.967719,14.88325,ACCELERATE
-1.0,5.903596,7.151439,4.30221,4.9021,-44.30151,0.279159,-11.14124,14.96207,ACCELERATE
-1.0,5.853093,7.205126,4.265345,4.938961,-44.33848,0.2791598,-12.34785,15.04312,ACCELERATE
-1.0,5.803599,7.257701,4.229228,4.975074,-44.37438,0.279159,-13.52014,15.12185,ACCELERATE
-1.0,5.754796,7.309568,4.193611,5.010688,-44.4102,0.2791592,-14.69011,15.20044,ACCELERATE
-1.0,5.711414,7.352923,4.156687,5.04725,-44.44651,0.2791585,-15.90324,15.28192,LEFT_ACCELERATE
-1.0,5.852829,7.159477,4.143425,5.056589,-44.4544,0.2791594,-17.11432,15.36326,LEFT_ACCELERATE
-1.0,6.377529,6.64409,4.221613,4.996996,-44.37858,0.2791699,-18.28821,15.44236,LEFT_ACCELERATE
-1.0,7.218252,5.985605,4.449405,4.846614,-44.18403,0.2791755,-19.48213,15.52372,LEFT_ACCELERATE
-1.0,7.804691,5.505596,4.745704,4.618342,-43.92177,0.2791705,-20.63572,15.60319,LEFT_ACCELERATE
-1.0,7.998805,5.210764,5.026141,4.352831,-43.65541,0.279166,-21.75508,15.68045,ACCELERATE
-1.0,8.028013,5.019527,5.276088,4.085289,-43.39318,0.2791623,-22.91261,15.76013,ACCELERATE
19.07475,7.96731,4.930966,5.481872,3.822736,-43.13295,0.2791617,-24.1068,15.84219,ACCELERATE
17.95528,7.842167,4.95547,5.618834,3.630345,-42.89208,0.2791598,-25.24275,15.92015,ACCELERATE
16.71961,7.631499,5.149007,5.71278,3.493161,-42.64128,0.2791608,-26.4494,16.00289,ACCELERATE
15.51735,7.364891,5.576447,5.746769,3.450802,-42.3998,0.2791604,-27.62816,16.08366,ACCELERATE
14.35491,7.055892,6.393924,5.724793,3.483836,-42.16152,0.279159,-28.7981,16.16382,LEFT_ACCELERATE
13.66238,6.838262,7.306711,5.661218,3.569431,-41.89758,0.2791601,-29.94968,16.24318,LEFT_ACCELERATE
13.51662,6.768476,7.631945,5.597227,3.633924,-41.55801,0.2791699,-31.06353,16.32147,LEFT_ACCELERATE
13.81097,6.837591,7.1556,5.57556,3.643496,-41.08712,0.2791888,-32.16737,16.40224,LEFT_ACCELERATE
14.34994,7.013659,6.483907,5.610542,3.587013,-40.49613,0.2791868,-33.2029,16.48248,LEFT_ACCELERATE
14.24722,7.024918,6.545404,5.674265,3.534264,-39.81182,0.2791779,-34.21401,16.56453,LEFT_ACCELERATE
14.10218,6.997373,6.719895,5.703727,3.510423,-39.13231,0.2791752,-35.11566,16.6404,LEFT_ACCELERATE
14.59253,7.143775,6.240951,5.751933,3.446326,-38.28834,0.2791838,-36.04439,16.72482,LEFT_ACCELERATE
14.89596,7.244366,5.975911,5.829643,3.374974,-37.45038,0.2791817,-36.80975,16.80114,LEFT_ACCELERATE
14.59386,7.179443,6.249148,5.879991,3.328542,-36.52353,0.2791734,-37.57999,16.88208,LEFT_ACCELERATE
14.49104,7.128222,6.44479,5.889653,3.329893,-35.60064,0.2791696,-38.28776,16.96022,LEFT_ACCELERATE
15.16278,7.223883,6.066106,5.910551,3.306939,-34.59148,0.279179,-38.93216,17.04076,LEFT_ACCELERATE
15.97426,7.310297,5.834707,5.947247,3.257492,-33.49067,0.2791781,-39.50204,17.1241,LEFT_ACCELERATE
15.92952,7.202127,6.15421,5.96674,3.262185,-32.41312,0.2791708,-40.00815,17.20405,LEFT_ACCELERATE
14.97179,6.901005,7.311483,5.925067,3.360442,-31.37957,0.2791651,-40.50187,17.28096,ACCELERATE
13.99548,6.532878,8.979041,5.79957,3.581243,-30.28989,0.2791614,-41.03852,17.36252,LEFT_ACCELERATE
14.03458,6.266274,9.418007,5.611041,3.806343,-29.21334,0.2791603,-41.53029,17.44202,LEFT_ACCELERATE
13.92986,5.960511,9.889638,5.410473,4.067069,-28.0776,0.2791624,-41.99123,17.52433,LEFT_ACCELERATE
13.0955,5.572887,10.86229,5.188367,4.404256,-27.00782,0.2791612,-42.42052,17.60172,LEFT_ACCELERATE
13.29634,5.233199,10.89549,4.881392,4.740663,-25.86885,0.2791632,-42.83821,17.68321,LEFT_ACCELERATE
14.09884,4.968209,10.61452,4.584633,5.014759,-24.76129,0.2791646,-43.17228,17.76092,LEFT_ACCELERATE
14.83734,4.722414,10.50585,4.288132,5.271322,-23.61142,0.2791667,-43.47492,17.84078,LEFT_ACCELERATE
18.9617,4.671028,9.683049,3.999414,5.403103,-22.442,0.2791765,-43.69286,17.92078,LEFT_ACCELERATE
-1.0,4.770018,8.925309,3.831367,5.453326,-21.24971,0.2791764,-43.80598,18.0013,LEFT_ACCELERATE
-1.0,4.966913,8.316172,3.762911,5.460551,-20.03442,0.2791787,-43.84445,18.08302,LEFT_ACCELERATE
-1.0,5.416893,7.581833,3.808646,5.391514,-18.83633,0.2791805,-43.77619,18.16373,LEFT_ACCELERATE
-1.0,5.949879,7.020365,3.959102,5.256887,-17.64791,0.279174,-43.63911,18.24408,LEFT_ACCELERATE
-1.0,6.246633,6.760097,4.107715,5.114848,-16.4868,0.2791671,-43.49631,18.32264,ACCELERATE
-1.0,6.440013,6.591873,4.235892,4.986535,-15.29369,0.2791638,-43.36791,18.40321,ACCELERATE
-1.0,6.608202,6.445316,4.347965,4.874261,-14.1448,0.279162,-43.2574,18.48071,ACCELERATE
-1.0,6.773245,6.301399,4.457706,4.764356,-12.91157,0.2791606,-43.14869,18.56383,ACCELERATE
-1.0,6.919967,6.173456,4.555008,4.666954,-11.73451,0.2791611,-43.05151,18.64312,ACCELERATE
-1.0,7.062168,6.049443,4.649127,4.572767,-10.54671,0.2791604,-42.95805,18.72311,ACCELERATE
-1.0,7.19622,5.932558,4.737717,4.484133,-9.363437,0.2791599,-42.8682,18.80278,ACCELERATE
-1.0,7.288525,5.815602,4.826279,4.395541,-8.188875,0.2791601,-42.78132,18.88185,ACCELERATE
-1.0,7.305877,5.720035,4.914711,4.307089,-6.972853,0.2791608,-42.69312,18.9637,ACCELERATE
19.10772,7.256118,5.699561,4.996204,4.225585,-5.834444,0.2791598,-42.61171,19.04032,ACCELERATE
18.04257,7.18365,5.750966,5.086071,4.13955,-4.645129,0.2791596,-42.52383,19.12039,LEFT_ACCELERATE
17.75783,7.311291,5.598197,5.214639,4.024321,-3.426297,0.2791623,-42.38576,19.20281,LEFT_ACCELERATE
